family,run_id,f1,accuracy,precision,recall,roc_auc,pr_auc
lightgbm,6747153769654d7c915bd9c17ecc8218,0.9289617486338798,0.9630943931866572,0.9497206703910615,0.9090909090909091,0.9917306052855924,0.9819527284468229
xgboost,4778e216919c422db8937d5f1c9437c1,0.9230769230769231,0.9595457771469127,0.9318801089918256,0.9144385026737968,0.9912320132268981,0.9811140865003586
catboost,26a938aba936405d807d2ea41f40d682,0.9191374663072777,0.957416607523066,0.9266304347826086,0.9117647058823529,0.9913379317471389,0.9811189670081032
logistic_regression,5bd7a4c5f98849d995b3cf3e1aa224cc,0.9062901155327343,0.9481902058197303,0.8716049382716049,0.9438502673796791,0.9921077785527913,0.9819461641519424
